GENE	logFC	adj.P.Val
ARHGAP25	-1.202901168	2.21E-17
ARHGEF12	1.870928275	8.78E-12
ARHGEF18	-1.659056045	6.21E-37
ARHGEF3	-2.040260168	1.76E-28
ARID1B	-1.568563368	1.35E-22
ARL17A	-1.245868269	5.06E-09
ARL4A	2.256683437	5.64E-28
ARL4C	-3.247505145	1.19E-28
ARMC1	-1.50325792	1.47E-16
ARRDC3	-1.732973869	2.43E-12
ASF1A	-1.367051991	1.27E-18
ASGR2	1.374319862	2.52E-07
ASPH	3.349460511	2.39E-25
ASTE1	-1.439292153	5.58E-26
ATF7IP2	-1.334301216	2.56E-29
ATG9A	1.045926345	2.14E-16
ATIC	-1.976661517	3.65E-30
ATM	-2.050254682	2.40E-26
ATMIN	-1.356946331	3.82E-19
ATP10D	-1.252447945	4.18E-12
ATP11B	1.29921347	1.90E-10
ATP2B1	-2.199805443	4.55E-16
ATP5A1	-1.080617775	7.56E-22
ATP5G1	-1.03313808	1.17E-12
ATP5G2	-1.315917171	4.54E-28
ATP6V1C1	1.81111357	2.99E-17
ATP8B2	-2.950593463	1.26E-33
ATP8B4	1.729469372	8.78E-10
ATP9A	2.013398965	2.35E-11
ATXN10	-1.185634173	4.06E-18
AUTS2	-1.959605	1.33E-27
AZI2	1.413504152	1.18E-15
B3GNT5	2.427285504	1.41E-15
B4GALT5	1.048494275	3.96E-16
BACH2	-1.954653692	1.86E-39
BAG5	-1.007052127	4.77E-16
BANK1	-1.747731097	2.55E-18
BANP	-1.288100501	5.96E-19
BAT2L1	-1.210316603	8.11E-23
BATF	1.546769197	3.29E-15
BAZ1B	-1.114558604	2.68E-22
BBC3	-1.004936722	9.73E-12
BBS2	-1.062533483	6.91E-28
BCAT1	1.416390786	5.57E-08
BCKDHB	-1.359385982	7.69E-36
BCL11A	-2.13054014	3.23E-26
BCL11B	-3.914275339	2.34E-43
BCL2	-2.616806651	3.63E-52
BCL2A1	3.890265523	2.08E-32
BCL6	1.624087446	1.53E-25
BCL9L	-1.92061439	5.25E-41
BCLAF1	-1.045255716	3.68E-09
BET1L	-1.132515849	3.43E-27
BEX1	1.360765814	2.68E-07
BEX4	-1.253869321	1.59E-13
BIN1	-1.884552131	3.39E-29
BIRC3	-1.905004331	2.89E-14
BLCAP	-1.102857944	6.92E-34
BLK	-1.346222651	3.75E-17
BLMH	-1.515800121	9.33E-22
BLNK	-1.855787534	1.07E-21
BLOC1S1	1.777763341	1.18E-26
BMS1	-1.048335378	1.51E-29
BMX	3.271769785	2.00E-30
BPGM	2.667353031	7.99E-11
BPI	3.462107308	9.23E-18
BRD1	-1.195305435	1.68E-22
BRIX1	-1.160102543	6.35E-15
BSG	1.029340908	7.37E-09
BST1	1.278646008	1.84E-14
BTBD11	-1.413922644	3.12E-27
BTG1	-1.137985788	5.44E-19
BTN3A1	-1.856225745	1.71E-19
BTN3A2	-1.950440743	3.97E-13
BTN3A3	-2.903992518	4.55E-28
BUB3	-1.080743287	4.59E-20
BZW2	-1.377547535	8.21E-22
C10orf137	-1.185134456	2.87E-14
C10orf18	-1.155090166	1.34E-17
C11orf2	-1.271032254	1.93E-19
C11orf21	-1.067848342	1.61E-12
C11orf46	-1.081443758	2.65E-21
C11orf61	-1.051955976	5.34E-28
C12orf23	-1.15232344	8.10E-18
C12orf35	-1.060730916	1.14E-07
C12orf41	-1.398610461	1.76E-19
C12orf57	-1.78217702	5.48E-16
C12orf65	-1.878157754	1.39E-43
C14orf101	1.128863586	7.41E-10
C14orf129	1.244602935	7.84E-07
C14orf159	-1.5542411	1.74E-11
C14orf169	-1.004285157	1.55E-28
C14orf2	2.413308509	6.17E-28
C14orf43	-1.837692983	3.10E-25
C14orf45	2.22737577	2.64E-10
C15orf39	-1.322015432	4.67E-15
C15orf44	-1.382577736	8.69E-30
C16orf54	-1.020671914	2.50E-17
C16orf58	-1.12319398	9.45E-27
C16orf7	1.337197785	7.44E-21
C16orf80	-1.297196976	1.77E-27
C16orf88	-1.027219287	7.42E-18
C17orf103	1.178960451	5.60E-16
C17orf91	1.048096386	5.88E-12
C18orf10	1.266778516	1.08E-05
C18orf32	1.299116538	6.02E-16
C18orf55	-1.269346487	4.51E-27
C19orf12	-1.481586542	3.43E-15
C19orf2	-1.883197236	2.11E-25
C19orf29	-1.295414574	7.27E-34
C19orf33	1.007077954	2.05E-06
C19orf38	1.077864301	1.35E-14
C19orf59	4.70801023	1.54E-56
C19orf60	-1.233637252	3.41E-15
C19orf66	-1.177574417	7.86E-12
C1GALT1C1	1.087914829	2.61E-07
C1orf174	-1.435904859	5.42E-23
C1orf183	-1.128866694	1.69E-05
C1orf55	-1.212916462	1.15E-10
C1QB	1.705650656	4.79E-08
C1QBP	-1.151738831	6.30E-14
C20orf108	1.048945439	5.13E-05
C20orf112	-1.55238283	9.43E-17
C21orf33	-1.3607537	1.95E-26
C21orf59	-1.598199378	1.25E-22
C2orf29	-1.01422256	1.57E-20
C2orf42	-1.14529837	2.39E-24
C2orf88	2.651111018	1.59E-18
C2orf89	-2.89525213	9.76E-49
C3AR1	1.846322437	4.33E-15
C3orf37	-1.064175927	2.85E-22
C4orf14	-1.270758382	1.58E-20
C4orf3	1.028291859	1.06E-16
C5orf25	-1.011905227	1.20E-18
C5orf30	2.092280494	1.51E-14
C5orf32	2.674875756	3.21E-46
C6orf108	-1.112450565	1.79E-15
C6orf136	-1.080430579	1.91E-26
C6orf204	-1.183067085	1.17E-09
C6orf25	1.426417678	1.24E-05
C6orf48	-1.187483259	1.34E-14
C7orf23	-1.465770965	2.67E-15
C7orf54	-1.028275091	2.46E-25
C9orf103	1.828704971	5.10E-09
C9orf23	-1.092392761	6.98E-15
C9orf84	1.124757516	1.45E-07
C9orf89	1.072879203	2.08E-14
C9orf91	-1.205016046	1.51E-15
CA1	4.01993316	1.28E-17
CA2	1.489105158	3.49E-06
CA4	3.277637632	1.85E-31
CABC1	-1.742431223	1.03E-21
CACNA2D3	-1.951341984	1.81E-33
CALHM2	-1.615310555	2.17E-21
CAMK1D	-1.681942752	3.06E-12
CAMK2D	-1.97718508	1.77E-27
CAMP	1.209126483	0.00
CAND1	-1.467912653	6.56E-21
CAPG	1.390726325	3.66E-16
CAPN2	-1.218696991	2.83E-16
CAPRIN1	-1.133648203	1.13E-20
CAPRIN2	-1.124231006	6.69E-12
CAPZA2	1.146796943	3.18E-10
CARD11	-1.106848573	1.95E-26
CARD16	1.59602443	5.89E-15
CARD6	1.94219073	4.59E-30
CARD9	-1.250009302	5.59E-15
CARKD	-1.18961647	1.53E-19
CASP8AP2	-1.013025795	1.19E-10
CASS4	-1.224782371	4.02E-19
CBLB	-1.979567723	2.36E-23
CBLL1	-1.414374392	2.98E-18
CBR1	-1.07950942	7.19E-11
CBS	1.708945382	8.54E-10
CBX7	-1.767923239	9.05E-23
CCAR1	-1.000425435	7.83E-20
CCDC107	-1.009816222	8.30E-18
CCDC109B	-1.849931657	3.56E-22
CCDC115	-1.446495872	9.79E-23
CCDC23	1.24271118	3.14E-17
CCDC53	1.010393729	1.01E-09
CCDC72	1.096059952	1.38E-12
CCDC76	-2.271744081	1.10E-28
CCDC84	-1.218527701	2.18E-25
CCDC88C	-2.302384579	6.72E-39
CCL5	-1.880158376	2.43E-12
CCNA1	1.753254583	1.05E-07
CCNB1IP1	-1.176808829	4.15E-17
CCNB2	1.229837552	4.03E-07
CCND2	-2.677556138	2.19E-27
CCPG1	1.275686317	2.00E-11
CCR3	-3.965317022	5.38E-35
CCR5	-1.455098191	6.83E-23
CCR6	-1.4527326	4.20E-39
CCR7	-3.161392366	5.58E-25
CCT3	-1.410395419	3.45E-21
CCT4	-1.614592689	5.65E-24
CCT6A	-1.497017705	2.06E-23
CCT7	-1.042877497	1.71E-17
CCT8	-1.248770996	1.16E-21
CD160	-2.403546789	2.06E-37
CD163	2.334259542	1.28E-09
CD177	6.802024384	2.22E-40
CD180	-1.054192413	2.74E-13
CD1D	-1.337748648	4.03E-11
CD2	-3.06773684	6.40E-24
CD24	2.578532821	3.40E-11
CD244	-2.188840654	2.87E-24
CD247	-2.449662728	2.55E-37
CD27	-2.87432822	1.48E-29
CD28	-1.4334	7.30E-32
CD300LB	-1.475536865	1.49E-15
CD3D	-2.563943752	6.00E-17
CD3E	-1.918784784	6.69E-34
CD3G	-3.126807787	2.69E-27
CD4	-1.038729201	1.23E-23
CD40	-1.183153495	9.22E-12
CD46	-1.000396886	1.96E-06
CD5	-2.697825185	1.04E-38
CD55	1.668195497	9.17E-30
CD58	1.465324581	1.36E-14
CD59	2.251673387	6.48E-22
CD6	-2.107865925	2.11E-30
CD63	1.261173566	4.78E-22
CD7	-1.125971139	1.01E-23
CD74	-2.766045554	5.99E-38
CD79A	-1.227448247	9.03E-17
CD79B	-1.643442545	1.15E-19
CD81	-2.122456988	2.09E-25
CD84	-1.245041538	9.25E-13
CD86	-1.891210681	9.42E-14
CD8A	-3.324628732	1.21E-19
CD8B	-1.288467623	2.30E-17
CD96	-2.325282047	4.49E-41
CDADC1	1.622741258	3.34E-12
CDC14A	-1.202106596	2.96E-16
CDC16	-1.511840779	1.15E-19
CDC23	-1.387140888	6.04E-24
CDC25B	-2.459821272	1.87E-29
CDC42BPA	1.380218363	3.72E-13
CDC42EP3	1.144251907	2.66E-17
CDC42SE2	-1.394338908	8.84E-21
CDK5RAP1	-1.156887561	1.21E-28
CDK5RAP2	2.585914935	3.71E-20
CDKN1C	-2.785310392	4.20E-19
CDKN2C	2.141942095	7.32E-19
CDKN2D	1.221692524	2.55E-26
CDR2	-1.028008732	9.43E-11
CEACAM1	2.663465269	2.16E-16
CEACAM21	1.151897181	5.12E-09
CEACAM4	1.376934523	3.91E-11
CEACAM6	2.371275937	1.29E-07
CEACAM8	3.932503586	5.33E-14
CECR1	-2.508209246	7.65E-19
CEP164	-1.282099235	2.40E-18
CEP68	-1.454356418	2.29E-15
CEP78	-1.427503918	6.74E-23
CFD	-1.810012266	2.00E-06
CHCHD10	-1.515773269	3.01E-19
CHCHD7	1.667603413	2.20E-10
CHD3	-1.058735828	7.69E-21
CHD6	-1.032645832	8.40E-27
CHERP	-1.104495878	5.09E-22
CHI3L1	-2.551990607	2.67E-09
CHIT1	1.810665602	2.78E-08
CHMP5	1.458146475	9.48E-10
CHMP7	-1.700392707	3.46E-34
CHPT1	1.697139846	2.94E-23
CHST11	-1.389005154	1.03E-12
CHST7	-1.609939798	4.80E-17
CHTF8	-1.098532283	1.50E-32
CIAO1	-1.23924771	6.01E-26
CIB1	-1.131760349	3.42E-20
CIRBP	-1.217981881	4.82E-13
CIRH1A	-1.63018683	7.18E-23
CISD2	1.852752572	1.10E-08
CKAP4	2.212340606	7.28E-36
CKLF	1.133524517	3.69E-14
CKS2	1.115424373	3.01E-06
CLCC1	-1.140093038	1.22E-27
CLEC10A	-1.696747157	7.78E-21
CLEC1B	2.60093691	1.18E-17
CLEC2B	2.128578692	2.29E-10
CLEC2D	-1.173678349	3.14E-17
CLEC4D	4.828981837	1.01E-38
CLEC4E	1.587471327	5.42E-23
CLEC5A	2.241381061	1.88E-15
CLEC7A	-1.200896462	3.51E-09
CLIC3	-2.876314219	8.52E-35
CLIP4	-1.192809625	2.71E-10
CLNS1A	-1.067216532	3.91E-13
CLSTN1	-1.435228814	7.90E-30
CLU	1.723630611	2.27E-13
CMBL	1.115436488	3.67E-08
CMTM5	1.761435872	2.85E-11
CNDP2	-1.055283064	4.78E-16
CNIH4	2.313049015	9.87E-35
CNNM3	-1.37083808	2.94E-30
CNOT7	-1.131540005	2.79E-23
CNST	-1.060937516	6.67E-18
COG1	-1.18624631	1.88E-27
COL17A1	2.150974319	1.51E-11
COMMD6	1.596878041	1.93E-08
COMMD8	1.187650592	6.88E-07
COPS2	1.205289032	1.81E-08
CORO1B	-1.094309307	1.30E-10
CORO2A	1.257370842	1.20E-08
COX7B	3.084834589	9.50E-23
CPA3	-1.743394049	1.35E-23
CPD	1.125485633	1.06E-07
CPEB4	1.448029213	1.20E-15
CPPED1	-1.463244489	5.91E-18
CPSF6	-1.26901254	4.19E-12
CPVL	-2.423598499	7.69E-14
CR1	2.260868407	1.50E-25
CREB3L2	-1.294460192	2.38E-16
CREG1	1.188305433	2.57E-11
CRIP1	-1.891597694	4.10E-13
CRIPT	1.069779822	2.04E-13
CRISP3	2.99200565	9.07E-13
CRTAM	-1.717643506	3.21E-31
CRTAP	-1.377850274	4.48E-14
CRTC3	-1.600291274	9.40E-22
CRY1	-1.208759959	1.26E-23
CS	-1.003244681	2.76E-16
CSE1L	-1.17634079	6.28E-14
CSF1R	-1.486271884	2.10E-17
CSGALNACT1	1.465424481	1.84E-07
CSGALNACT2	1.843608484	2.61E-11
CSRP2BP	-1.128208584	5.25E-41
CST3	-1.556535047	2.55E-15
CST7	1.946342586	3.82E-23
CTCF	-1.530618064	3.84E-29
CTDSPL	1.472845655	6.29E-09
CTDSPL2	-1.308102612	9.26E-17
CTNNAL1	1.99460112	5.34E-13
CTSD	1.1282017	1.69E-12
CTSG	1.691184977	0.00
CTSO	-2.246619727	2.98E-26
CTSW	-1.046475571	5.51E-11
CUL1	-1.792369454	5.84E-22
CUTA	-1.604842081	8.99E-23
CWF19L2	-1.574406229	1.74E-26
CX3CR1	-3.462895713	6.00E-25
CXCR3	-1.033836545	5.49E-23
CXCR5	-1.600458923	3.28E-24
CXXC5	-2.008031604	7.00E-26
CYB561	-2.438992381	1.19E-37
CYB5B	-1.180109795	3.33E-23
CYBASC3	-1.669284778	4.89E-27
CYP19A1	1.35309662	1.61E-06
CYP1B1	1.675552582	1.14E-13
CYP27A1	-1.056672436	0.00
CYP4V2	-1.430689624	6.03E-30
CYSLTR1	-1.690127979	2.73E-14
CYTH1	-1.048654306	1.67E-24
DAAM2	3.082490839	3.07E-17
DACH1	2.916916678	2.31E-23
DAPK1	-1.231868762	6.59E-10
DARC	1.090683037	1.41E-08
DAZAP1	-1.327114698	3.25E-21
DCAF10	1.386671522	3.00E-15
DCAF16	-1.228341687	2.38E-30
DCAF7	-1.300114496	3.19E-28
DCTD	-1.961209377	2.99E-33
DCUN1D1	1.714779795	1.80E-16
DDAH2	2.154426476	1.46E-27
DDOST	-1.057584824	1.33E-15
DDX18	-2.168344534	1.57E-34
DDX19A	-1.272689755	3.80E-34
DDX20	-1.179955429	2.88E-24
DDX21	-1.210490365	1.36E-14
DDX24	-2.086739869	5.03E-33
DDX27	-1.512271608	2.94E-25
DDX28	-1.462301088	1.43E-33
DDX39	-1.044047817	4.31E-11
DDX47	-2.261267457	1.27E-38
DDX56	-1.16515348	5.58E-26
DDX58	-1.097886576	0.00
DDX60	-1.785992963	1.01E-05
DEFA4	2.735442729	5.90E-07
DENND2D	-2.039971281	3.77E-35
DGCR6	-1.26849828	6.26E-17
DGKA	-1.169037195	1.06E-14
DGKZ	-1.5315668	2.12E-24
DHCR7	1.053453382	7.82E-08
DHRS13	1.485177073	2.99E-13
DHRS3	-2.299553216	5.11E-35
DHRS4	-1.070425383	1.49E-15
DHRS9	2.378621604	4.48E-13
DHX15	-1.222477204	1.16E-18
DHX58	-1.168063028	9.69E-06
DIMT1L	-1.477659654	4.82E-25
DIP2A	-1.190283522	1.03E-15
DIRC2	1.363970861	1.89E-15
DIS3L	-1.2560235	9.91E-24
DKC1	-1.688607844	1.15E-26
DNAJC10	-1.041832956	5.33E-13
DNAJC9	-1.017975346	2.94E-09
DNM3	1.055625655	2.97E-08
DNMT1	-2.359284473	3.73E-37
DNPEP	-1.266375534	1.36E-21
DOCK10	-2.60811433	1.01E-38
DOCK9	-1.393658655	9.08E-31
DPCD	1.414476541	1.79E-08
DPEP2	-1.764669712	2.47E-11
DPF2	-1.005433062	3.64E-19
DPH3	1.188664104	2.63E-17
DPP4	-3.308438211	9.54E-41
DPP7	-1.377463387	3.40E-16
DPYSL2	-1.691932521	6.99E-13
DRAM1	1.656787503	1.50E-18
DSC2	1.28397071	4.36E-05
DUSP13	1.659667005	7.08E-13
DUSP5	-1.161728481	4.32E-12
DUSP6	-1.603629152	1.16E-14
DYNC1H1	-1.18289738	1.51E-19
DYRK2	-2.426430451	2.06E-42
DYSF	1.591379612	1.03E-20
E2F2	1.064986579	6.63E-08
E2F5	-1.092256042	6.06E-15
EAF2	1.291244628	6.96E-12
EBAG9	-1.301678978	2.55E-18
EBNA1BP2	-1.077842138	8.43E-15
ECHDC2	-1.52754063	4.13E-25
ECHDC3	2.558736907	4.30E-17
EEF1G	-1.073532131	1.37E-16
EEF2	-1.020478098	1.65E-18
EEF2K	-1.009011896	1.45E-25
EHMT1	-1.233108784	7.02E-22
EIF1AD	-1.195814788	1.28E-25
EIF1AY	1.185530828	0.02
EIF2AK3	-1.005982155	5.58E-18
EIF2B1	-1.397621142	5.14E-23
EIF2C1	-1.017308782	1.31E-13
EIF3A	-1.571009118	1.85E-30
EIF3D	-1.200076773	5.74E-36
EIF3F	-1.361900395	4.16E-27
EIF3G	-1.190375493	9.99E-19
EIF3H	-1.041852973	2.99E-18
EIF3L	-1.616614051	2.79E-23
EIF3M	-1.255808098	5.20E-20
EIF4A2	-1.588036409	3.98E-18
EIF4B	-1.44002794	5.15E-25
EIF5B	-1.416846842	6.06E-19
ELAC2	-1.61998849	1.04E-32
ELANE	2.313426695	8.65E-08
ELAVL1	-1.129272311	2.11E-24
ELL2	1.495846853	2.31E-15
ELMO1	-1.080812595	2.94E-13
ELP2	-1.551607716	8.72E-29
ELP3	-1.870664177	6.08E-32
EMB	2.484500971	4.54E-21
EMILIN2	1.193540935	5.46E-09
EMR1	1.401133898	2.38E-07
EMR3	-2.076042218	3.31E-11
ENDOD1	1.12979914	6.50E-06
ENOPH1	-1.469770937	1.28E-14
ENOSF1	-1.346764035	1.08E-30
ENTPD1	1.057201331	3.24E-16
ENTPD7	1.768434169	5.23E-09
ENY2	1.535165739	5.59E-15
EOMES	-3.368075171	9.10E-33
EPAS1	1.118727373	9.46E-10
EPB41L2	-1.071721375	5.29E-29
EPHX2	-2.446309108	1.33E-55
EPRS	-1.573521846	7.25E-25
EPSTI1	-1.428201675	0.01
ERAP1	-1.641134498	1.47E-16
ERAP2	-1.852769405	2.17E-09
ERCC5	-1.256361947	1.22E-22
ERLIN1	1.622027965	1.63E-14
ERO1L	1.24330986	1.55E-13
ERP29	-1.244344827	3.62E-24
ESF1	-1.397869123	3.43E-21
ESYT1	-2.788746437	3.60E-32
ESYT2	-2.027608659	1.13E-26
ETS1	-2.844767673	4.84E-31
ETS2	1.620224677	5.48E-15
EVI2A	1.354819761	1.09E-07
EVL	-2.885909629	1.08E-40
EXOC6	1.743799709	1.30E-19
EXOSC10	-1.623801092	7.33E-34
EXOSC4	2.802285675	3.95E-23
EXOSC6	-1.169828989	2.04E-23
EXOSC8	-1.346027892	1.51E-13
EXOSC9	-1.093140446	1.58E-15
F5	1.620131476	2.96E-14
FAH	1.087617903	5.97E-09
FAIM3	-3.389528189	1.50E-35
FAM102A	-1.291648535	8.33E-26
FAM105A	1.137613178	3.24E-10
FAM113A	-1.663433635	2.46E-23
FAM113B	-2.779138876	4.83E-34
FAM117B	-2.506020615	6.58E-24
FAM118A	-1.215727172	2.23E-19
FAM129C	-1.539659418	2.25E-18
FAM134A	1.14517095	1.05E-17
FAM134B	-1.040548963	2.82E-07
FAM160B1	1.117279336	6.17E-09
FAM162A	-1.807509097	1.18E-25
FAM168B	-1.320440665	8.08E-24
FAM174A	-1.232041752	1.84E-13
FAM177A1	1.425145968	9.08E-21
FAM190B	-1.223180396	9.46E-23
FAM20A	1.675560013	1.97E-08
FAM26F	-1.181688078	5.84E-05
FAM38A	-1.440103474	1.05E-30
FAM3C	-1.302150997	2.44E-17
FAM43A	-2.039497847	3.48E-47
FAM46A	-1.008552237	3.93E-07
FAM46C	1.571353081	4.90E-06
FAM49A	-1.016524888	7.85E-08
FAM50B	-1.100199588	5.59E-37
FAM53B	-1.593636798	3.14E-26
FAM65A	-1.20099624	1.37E-16
FAM78A	-1.640311944	2.81E-36
FAM89A	1.097363917	3.13E-06
FAM98B	-1.483538814	9.66E-18
FANCF	-1.268099349	4.29E-31
FAR1	1.057493113	1.86E-07
FAR2	1.697966565	1.61E-12
FASTKD2	-1.231798426	5.46E-28
FBL	-1.673579077	1.49E-21
FBXL12	-1.008365828	3.69E-15
FBXL16	-2.320225609	9.81E-47
FBXO21	-2.401406983	1.94E-34
FBXO30	1.832872161	6.99E-21
FBXO32	-1.053918051	3.02E-20
FBXO9	1.027768439	6.47E-12
FCAR	2.850396472	1.75E-31
FCER1A	-4.178611044	3.21E-46
FCER1G	1.333965667	2.17E-28
FCGR1A	1.836021927	4.20E-13
FCGR1B	1.71878656	4.15E-13
FCGR3A	-1.761884137	1.35E-15
FCRL3	-2.620326608	7.57E-31
FCRL6	-3.637482513	4.67E-28
FDX1	-1.017698918	1.52E-11
FECH	1.35004673	0.00
FEM1C	1.395129966	1.09E-10
FGD4	1.80807088	2.88E-27
FGF13	2.15548868	1.61E-08
FGFBP2	-3.591320214	1.20E-20
FGL2	-1.922292574	6.90E-17
FHIT	-2.684586763	2.44E-30
FHL2	1.061200794	5.87E-12
FIS1	1.306834616	2.44E-11
FKBP1B	1.856799232	9.04E-17
FKBP5	2.098161711	2.40E-27
FLCN	1.624250856	1.55E-06
FLI1	-1.062080134	1.66E-09
FLOT1	1.453678513	8.31E-30
FLOT2	1.162467008	1.44E-16
FLT3LG	-1.784042524	9.00E-32
FN3KRP	-1.781703104	4.68E-30
FNBP1	-1.140533878	9.04E-17
FNBP4	-1.722361298	2.56E-32
FNDC3B	1.102150632	1.23E-11
FNTA	-1.023411094	1.46E-19
FOLR3	2.680058374	4.22E-16
FOXJ3	-1.447378501	2.75E-22
FOXN3	-1.253239888	4.18E-16
FOXO1	-1.268266411	1.93E-18
FOXO3	1.090313754	6.33E-08
FOXP1	-1.315605511	9.46E-26
FRY	-1.364220211	1.20E-12
FSTL1	1.488637199	4.73E-10
FTO	-1.642911834	2.95E-34
FTSJ1	-1.52734357	6.79E-30
FUBP3	-1.0979401	7.61E-14
FUCA1	-1.2826323	2.19E-08
FUNDC1	-1.132646908	1.56E-18
FUNDC2	1.141513217	3.19E-08
FURIN	1.493699102	1.61E-27
FUS	-1.374122929	6.27E-30
FUT7	1.368171536	1.08E-13
FXC1	-1.065085508	4.09E-29
FXN	-1.082950357	4.58E-27
FXYD5	-1.229199966	1.42E-19
FYCO1	-1.13533649	8.08E-24
FYN	-2.15655679	1.95E-26
G0S2	2.144045421	1.26E-12
G3BP1	-1.32206182	1.13E-20
GADD45A	4.107271283	2.73E-40
GAL3ST4	-1.591178432	3.26E-40
GALNT14	1.923251491	3.26E-12
GALNT2	1.088840125	3.38E-06
GALNT4	1.238813702	5.14E-10
GALT	-1.062255422	3.48E-16
GANAB	-1.172015843	7.27E-19
GAR1	-1.536458681	1.23E-32
GAS7	1.193244356	1.45E-12
GATA2	-2.888287362	2.33E-33
GATA3	-2.103643547	6.39E-39
GBA	1.408361073	5.96E-17
GBP1	-1.913141554	1.17E-05
GBP4	-1.657711793	1.90E-08
GBP5	-2.380026073	2.24E-08
GCC2	-1.205482977	2.75E-11
GCET2	-1.405011353	1.40E-37
GCLM	1.742355357	4.89E-19
GCN1L1	-1.494702319	2.96E-29
GFM1	-1.150664342	8.64E-23
GGH	1.664248113	6.69E-12
GIMAP1	-1.897203847	1.32E-28
GIMAP4	-2.471893165	1.44E-25
GIMAP5	-2.372044199	2.27E-31
GIMAP6	-2.439609959	1.67E-30
GIMAP7	-1.985408727	8.81E-22
GIMAP8	-1.795828532	4.36E-19
GJB6	1.121725	0.00
GK	1.291372778	1.14E-08
GLG1	-1.063446326	7.41E-13
GLOD4	-1.381002104	6.54E-33
GLRX	1.521291445	3.04E-16
GLRX5	1.498611788	3.44E-07
GLS	-1.406688941	6.96E-08
GLT1D1	1.051625672	1.21E-15
GLT8D1	-1.04644687	7.57E-13
GLTSCR2	-1.865473633	1.07E-24
GM2A	1.246029241	1.26E-10
GMFG	1.205986291	4.63E-17
GMPR	1.555363126	1.64E-06
GNA15	1.049077789	1.43E-12
GNG11	1.331164612	1.50E-09
GNLY	-3.62892817	3.86E-18
GNPTAB	-1.292709993	4.53E-21
