logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B
RFESD	-0.610356458221424	-0.835774219195552	-0.384938697247296	2.51745924019095	-5.33921257225433	2.52094667164309e-07	0.000106530651013279	6.61488871516051
GPR155	0.873707898689146	0.550820884347949	1.19659491303034	6.57764753857789	5.33577468410126	2.56311493259537e-07	0.000106530651013279	6.59949323247021
RAB6B	-0.508790160955284	-0.697317221324762	-0.320263100585805	3.06873950995477	-5.32165612571088	2.7436026747697e-07	0.000109959675772377	6.53634472196218
CYB561D1	0.367950870016259	0.23112552296268	0.504776217069839	5.78309852021106	5.30279789468737	3.00407606576791e-07	0.000116247384862233	6.45219034848061
DAAM2	-1.42856837167575	-1.96159069595838	-0.895546047393124	4.70838792463819	-5.28490799865114	3.27331966659846e-07	0.000122443977661893	6.37256218490688
MARK3	-0.505438982747245	-0.694481769765527	-0.316396195728963	8.30015907402513	-5.27218234596134	3.47897931272829e-07	0.000125939051120764	6.31604197698086
TCEANC	-0.487185055260162	-0.670054101923822	-0.304316008596502	2.46357097676884	-5.25334056345452	3.80673367361017e-07	0.000133497391516417	6.23254386155624
LTB	0.712694513480393	0.442531258988973	0.982857767971813	8.98485036702513	5.20186330498515	4.86273635601501e-07	0.000165362507233941	6.00556052645259
RGS16	-0.461718584214011	-0.637651404476552	-0.285785763951469	2.34545559101508	-5.17502306867701	5.52115297114739e-07	0.000179508994281555	5.88787704213501
GIMAP1	0.608004059439503	0.375938436886396	0.84006968199261	5.73307564963317	5.16627438408393	5.75390432667824e-07	0.000179508994281555	5.84961667922293
DARC	-0.770487658122191	-1.06458061179485	-0.476394704449531	3.31380498340201	-5.16610069245175	5.75862038329708e-07	0.000179508994281555	5.84885757270674
PPM1A	-0.653014099284555	-0.903702888978841	-0.402325309590269	9.12405765558794	-5.13652544802385	6.61884063813329e-07	0.000200747647678735	5.7198821435582
EDNRB	-0.395454950195599	-0.54768618100955	-0.243223719381648	2.41910240592462	-5.12241849621237	7.07190009139814e-07	0.000208310113052889	5.65856005149035
PTPLA	-0.353685990815877	-0.489987565320398	-0.217384416311357	2.48107623490955	-5.11680403923751	7.2604673164489e-07	0.000208310113052889	5.63418987504571
BRAF	-0.435634609400764	-0.603680666323511	-0.267588552478018	3.1507268631206	-5.1118234778159	7.431822414636e-07	0.000208310113052889	5.61258815199822
B4GALT3	-0.738570825841461	-1.02385734839093	-0.453284303291991	6.10687515526633	-5.10496410578763	7.67425631025667e-07	0.000208310113052889	5.5828637644415
TAL1	-0.790970929760162	-1.09708533603188	-0.484856523488448	4.6937680259397	-5.09516852473052	8.03381703562019e-07	0.000208310113052889	5.54046815517289
ZNF317	0.391944059236969	0.240254616967306	0.543633501506633	4.45359307649246	5.09507441121926	8.03734965819787e-07	0.000208310113052889	5.54006112869141
AMICA1	0.597378175573892	0.365415044373551	0.829341306774233	9.75013064869347	5.07822792224036	8.69458331502955e-07	0.000208310113052889	5.46729476972982
ARHGAP27	0.450734164608084	0.275578319129547	0.625890010086621	8.70385839539196	5.07431754810723	8.85443622206579e-07	0.000208310113052889	5.45043061241837
CMTM3	0.382788319242708	0.233973604273778	0.531603034211639	8.13592533540704	5.07217932431726	8.9430470188747e-07	0.000208310113052889	5.44121334077434
CNOT2	0.363560671564565	0.222105281242794	0.505016061886337	5.6980279290804	5.06803020997625	9.11745238642524e-07	0.000208310113052889	5.42333613886186
RHAG	-0.777733846666187	-1.08044742073252	-0.475020272599858	2.55423888923116	-5.06618335153789	9.19614085045175e-07	0.000208310113052889	5.4153822046768
SLC30A7	0.500544802550453	0.305661851776521	0.695427753324386	6.09790392603518	5.0646671507727	9.26123312610778e-07	0.000208310113052889	5.40885397812741
FCN1	0.58434988483908	0.356817189141578	0.811882580536582	10.3818304357487	5.06420117953918	9.28132743953344e-07	0.000208310113052889	5.40684796937202
TMEM56	-0.948384195406265	-1.31829352195357	-0.57847486885896	5.11191784508543	-5.05557812508932	9.66090706103444e-07	0.000212577841252801	5.36975108140751
HBQ1	-1.00718330519871	-1.40127137682281	-0.613095233574616	8.636102779	-5.03961115004438	1.04038911407925e-06	0.000224523973811487	5.30118767225765
FHDC1	-0.684955373838595	-0.953221237751047	-0.416689509926143	2.85801754730653	-5.03475872632591	1.06404621387347e-06	0.000225296728529964	5.28038384008377
KHNYN	-0.424256143799136	-0.590602094861477	-0.257910192736794	6.85575676154774	-5.02918608468558	1.09185827911777e-06	0.000226904326078882	5.25651112631463
RANBP10	-0.826024270887372	-1.15083709271369	-0.50121144906105	4.5708452028392	-5.01465942939412	1.16771237455484e-06	0.000238255786677352	5.1943753756614
PSMB8	0.533900730306074	0.323608471001769	0.74419298961038	8.52377641622111	5.00632485874214	1.21351373486498e-06	0.000243179484511692	5.1587876124777
HSPA6	0.762361285283119	0.461849629417831	1.06287294114841	7.26010540852261	5.00243335522848	1.2354906493115e-06	0.00024323993099252	5.1421868452431
GIMAP6	0.721268390912964	0.436668913864812	1.00586786796112	6.05614052121106	4.99740562898526	1.26445602004716e-06	0.000244650438913263	5.12075373815011
GIMAP8	0.730888361566477	0.440499903842501	1.02127681929045	6.37187103432663	4.96310536986387	1.48037612295647e-06	0.000277607071279491	4.97497472735749
SFRS8	0.410713088395028	0.247514302379656	0.573911874410399	6.28702645637186	4.96253312300043	1.48426521803328e-06	0.000277607071279491	4.97254918736553
RNF187	-0.785838007056909	-1.09974718601593	-0.471928828097884	5.41835416396482	-4.93640534698791	1.67277047861147e-06	0.000307734923130785	4.86203329825664
COPS3	-0.497403838926827	-0.696740844687583	-0.298066833166071	6.47813311638191	-4.92042936609169	1.79924204838791e-06	0.000325662810758212	4.79467992901167
FZR1	-0.609994107068627	-0.854924821945585	-0.365063392191669	3.31878584766834	-4.91093503257982	1.87873684623676e-06	0.000329985227124819	4.75473272897123
SLC2A1	-0.827853138111905	-1.16028599932616	-0.49542027689765	5.93866706674372	-4.91056146326219	1.8819332147557e-06	0.000329985227124819	4.75316216687043
FBXO9	-0.559772047824724	-0.784928820578825	-0.334615275070624	9.23838869856784	-4.90239152116328	1.95316860632901e-06	0.000337207047695755	4.71883722403607
ZDHHC2	-0.795100548265903	-1.11531264809819	-0.474888448433615	7.11007463339698	-4.89627851496516	2.0081689713001e-06	0.000341449578726208	4.69318323392787
TRIM56	0.64259653438594	0.383144143222042	0.902048925549839	6.32826847450754	4.88385206987133	2.12463077825941e-06	0.000350931106274396	4.64111075006757
NME4	-0.716010585978	-1.0051157008754	-0.4269054710806	3.92881562090452	-4.88366052349326	2.12647613853671e-06	0.000350931106274396	4.6403088879713
FIS1	-0.728940399924682	-1.02438889375053	-0.433491906098838	7.49898168211055	-4.86510300665329	2.31280655886512e-06	0.000376149495704122	4.56273841330533
SMOX	-0.903600407196314	-1.2702457677533	-0.536955046639324	5.39834477430151	-4.8597286836067	2.36965472971752e-06	0.000379889505384144	4.5403166721309
C7orf26	0.477178370811575	0.283075300355859	0.67128144126729	4.44765208830151	4.84763758578615	2.5025351490579e-06	0.000395541541446869	4.48994310307444
RNF31	0.549332585704686	0.324083462461282	0.774581708948091	5.33159160543719	4.80899196889474	2.97734716238101e-06	0.000464052636892218	4.32959660259628
MSI2	-0.677842637244379	-0.956267687634537	-0.399417586854221	3.50490204192462	-4.80067577202056	3.0903563551491e-06	0.000475068205718948	4.29522283410435
IFI30	0.349228501813961	0.205108381245748	0.493348622382174	11.4208664677789	4.7782279406276	3.41648583957207e-06	0.000518105460698349	4.20267117580254
FAM151A	-0.308406009069583	-0.435790988126101	-0.181021030013065	2.9819633910804	-4.77404392775537	3.48084305239452e-06	0.000518853745674974	4.18545831156973
SP110	0.550892503432095	0.323156114043879	0.778628892820312	8.77421374105528	4.76997640778691	3.54453018574844e-06	0.000518853745674974	4.16873606161301
PAK1	0.542836275441175	0.318263236321475	0.767409314560875	7.43326384570854	4.76642808832669	3.60100596616281e-06	0.000518853745674974	4.15415748863274
CASP4	0.44224652261741	0.259274963875437	0.625218081359382	9.6031124167789	4.76609438159516	3.60636180383604e-06	0.000518853745674974	4.15278686524498
C1orf56	0.314543935699188	0.184240590982571	0.444847280415805	7.65998080088442	4.76000657216031	3.70542956102102e-06	0.000525176466749469	4.12779585208201
R3HDM2	0.349138782813966	0.204433541955546	0.493844023672386	6.42056326684925	4.7576844292801	3.74390637497394e-06	0.000525176466749469	4.11826987022252
DCUN1D1	-0.734082497064801	-1.0394430060204	-0.428721988109199	5.47438342241206	-4.74038699319007	4.04290933962406e-06	0.000557520722143607	4.0474269753389
TSC22D3	-0.545783566029172	-0.772898627435311	-0.318668504623033	10.2319426088643	-4.73866839068408	4.07384594687006e-06	0.000557520722143607	4.04039942977128
NAGK	0.560685705677662	0.326477379835166	0.794894031520159	8.2861560650603	4.72061904211457	4.41286911149278e-06	0.000596641170712916	3.96671531987008
TUBG1	-0.640628874598276	-0.909009552583433	-0.372248196613119	4.42495617780402	-4.70692266802453	4.6881415048368e-06	0.000619101856487989	3.91095004414967
AKNA	0.472791240657583	0.274661992563603	0.670920488751562	8.07250889750251	4.70546589349476	4.71837666794482e-06	0.000619101856487989	3.90502628024422
TNS1	-1.07408387248159	-1.52431225972368	-0.623855485239489	5.55203316917085	-4.70421455114948	4.74449827641838e-06	0.000619101856487989	3.89993903601444
KCNH2	-1.2862597094713	-1.82762126251404	-0.744898156428565	5.37036313849246	-4.68514521362678	5.16025896091648e-06	0.000665614092636836	3.82254668722691
KANK2	-1.00007309614443	-1.42127397461839	-0.578872217670469	3.64806420676884	-4.68192308963054	5.23389538373488e-06	0.00066744061359401	3.80949441608911
ATXN7	0.497003771501908	0.286964572419352	0.707042970584464	8.02903499306533	4.66596127688593	5.61387960231413e-06	0.000702844368997133	3.74494102846253
SLC20A1	0.480025111740554	0.276999509820555	0.683050713660553	7.19980858889447	4.66224347784527	5.70613186795309e-06	0.000702844368997133	3.72993051808796
SAMHD1	0.753070103801535	0.43447521340051	1.07166499420256	7.40463917420603	4.66099245520063	5.7375017806063e-06	0.000702844368997133	3.72488168848351
TIAM1	0.725102146758726	0.418218960938112	1.03198533257934	4.24541704864824	4.65916291304884	5.783677932342e-06	0.000702844368997133	3.71750003240461
KRT23	1.12728690216045	0.650022864781687	1.60455093953922	6.84391965907538	4.65755025496126	5.82467709113646e-06	0.000702844368997133	3.71099535047436
FAM38A	0.393979885436394	0.22681780102721	0.561141969845579	3.61033027848241	4.64748579588825	6.08695282599033e-06	0.000721863166126074	3.67044069558947
HDGF	-0.599119292945476	-0.853597436683199	-0.344641149207752	8.90568794687437	-4.64242200676315	6.22318260316805e-06	0.000721863166126074	3.65006261965574
ABCC13	-1.18485404395361	-1.68829378568568	-0.681414302221544	4.07111531340704	-4.64086738724548	6.26559255903309e-06	0.000721863166126074	3.6438099558655
C14orf45	-1.25858884243041	-1.79338755738229	-0.723790127478541	3.93481423467839	-4.6406126733158	6.27256765560171e-06	0.000721863166126074	3.64278565817228
CA2	-1.16617920666547	-1.66183320873587	-0.670525204595075	5.44894684805528	-4.63947112178142	6.30392000359609e-06	0.000721863166126074	3.6381956131531
GATA1	-0.565347358384264	-0.806129617800876	-0.324565098967651	5.39978781982915	-4.62991141089675	6.57247067426852e-06	0.000742623185311832	3.59979248098364
LYL1	-0.658053061496418	-0.9384137776243	-0.377692345368537	7.7843498089397	-4.6283431739833	6.6175653654592e-06	0.000742623185311832	3.59349861541109
KPNB1	0.36634289858441	0.210085239652667	0.522600557516153	10.145342329005	4.62304651759036	6.77208581181895e-06	0.0007524390790122	3.5722539205721
FBXO7	-0.743033758822573	-1.0616816466515	-0.424385870993646	10.0760930560905	-4.5981094130032	7.54752408352892e-06	0.000830375639856486	3.47249335070229
AMOTL1	-0.259095044993783	-0.370367537184542	-0.147822552803023	2.42968538755276	-4.59148417475573	7.76751037472041e-06	0.000846281567234101	3.44606175277295
SRRD	-0.986507915266379	-1.41080885034093	-0.562206980191825	6.29087305108543	-4.58467320595094	8.00009660880944e-06	0.00086324119369288	3.41892099990772
PILRA	0.878320050746292	0.499308630561394	1.25733147093119	7.52498360680905	4.56964329487956	8.5373187876445e-06	0.000912436108904253	3.35914322308165
TRIM25	0.484115523465565	0.27420597862857	0.69402506830256	8.55909095023618	4.54777134915736	9.38157343573937e-06	0.000967703453836593	3.27243455860496
DYNLL2	-0.489557069754423	-0.701843761484475	-0.277270378024371	4.4388451118191	-4.54739161884942	9.39691797437963e-06	0.000967703453836593	3.27093211751676
CD14	0.621237888434477	0.351847699475653	0.890628077393301	9.45000132824623	4.54734557270933	9.39878029623231e-06	0.000967703453836593	3.27074993820044
SESN3	-1.20747803078144	-1.73154893242818	-0.683407129134704	6.64415148364322	-4.54329556139636	9.56397883108045e-06	0.000967703453836593	3.25473207096533
TRIM44	0.562130431301771	0.318136811848186	0.806124050755356	5.46005713798995	4.54297583469945	9.5771387201343e-06	0.000967703453836593	3.25346803521584
ASXL1	-0.500330576184595	-0.717535289036267	-0.283125863332924	5.07128781046231	-4.5422350008424	9.60769830491328e-06	0.000967703453836593	3.25053943234163
IFNAR2	0.436124959784077	0.246740264183454	0.625509655384699	8.23040778585427	4.54096193703156	9.66043183418603e-06	0.000967703453836593	3.24550775999066
DAPP1	0.539655264795316	0.305209323220645	0.774101206369987	8.68738762291457	4.53895104387635	9.74429605092987e-06	0.000967703453836593	3.23756219512413
TRIP12	-0.282786501202057	-0.406067337749281	-0.159505664654832	7.1459455801407	-4.52319073235162	1.04262817613947e-05	0.00102062042592511	3.17538726289513
SECTM1	0.71057450220062	0.400749266115055	1.02039973828618	8.42953362571859	4.52245890965799	1.0459040187256e-05	0.00102062042592511	3.17250443351949
PQLC1	-0.508039212575323	-0.730343507202402	-0.285734917948244	6.2643689730603	-4.50641496951335	1.12025985571965e-05	0.0010557763062201	3.10939798595871
FAM43A	0.382388107422525	0.215059572829422	0.549716642015628	3.54352286840704	4.5062591994575	1.12100611027673e-05	0.0010557763062201	3.10878617504305
RBCK1	0.551591149551651	0.310196119048217	0.792986180055086	4.98581304171859	4.50578809678415	1.12326595361874e-05	0.0010557763062201	3.10693595057725
BAZ2A	0.47943686980727	0.269574637170977	0.689299102443564	6.55371403330653	4.50483553181226	1.12784872865611e-05	0.0010557763062201	3.10319529220604
RBM38	-0.806159343817789	-1.15921842919094	-0.453100258444643	9.17574456845226	-4.50251636174873	1.13908152858968e-05	0.0010557763062201	3.09409073885559
BAG1	-0.786221683742236	-1.13063593208783	-0.441807435396643	8.6388442021608	-4.50138031050131	1.14462312861786e-05	0.0010557763062201	3.08963223271831
TMSB10	0.354782997374944	0.199338624893986	0.510227369855902	10.4710425187437	4.50059148278136	1.14848623201724e-05	0.0010557763062201	3.08653696234814
LTBR	0.498633037916309	0.280076400221113	0.717189675611505	6.66716041429648	4.49882239916473	1.1571955593038e-05	0.0010557763062201	3.07959687303246
CX3CR1	1.0633639443429	0.596342105377526	1.53038578330828	8.38385973579397	4.48979529358989	1.20263475709036e-05	0.00108744080309972	3.04421801413226
C18orf10	-1.01326335741846	-1.45862034009057	-0.567906374746346	6.48208644653266	-4.48637809068193	1.22027940409047e-05	0.00108744080309972	3.03084037398142
ARL4A	-0.638042443052135	-0.918585690129286	-0.357499195974984	6.23702010759296	-4.48468092484643	1.22913492526148e-05	0.00108744080309972	3.02419938486578
RNF10	-0.489733727538731	-0.705080569413796	-0.274386885663666	10.0029278518492	-4.48438929201983	1.23066282296974e-05	0.00108744080309972	3.02305843390453
BRAP	0.314638756781444	0.176173841422507	0.453103672140381	5.84962051105528	4.48078671755987	1.24968837012653e-05	0.00109262056215849	3.00896908605034
POC1B	-0.647890457805355	-0.933086695203713	-0.362694220406996	5.40276089166834	-4.47960366745588	1.2559976164538e-05	0.00109262056215849	3.00434428176333
TRIM27	0.472446325890247	0.263490943145799	0.681401708634695	6.93228157043719	4.45841726869978	1.37430667972163e-05	0.00118634381229509	2.92168952670718
CYB5A	-0.616146714736966	-0.888908929244299	-0.343384500229634	4.48858434905025	-4.45432323258775	1.39837139411894e-05	0.00119270044843379	2.9057540509608
PSME4	-0.620284548749881	-0.894925857448287	-0.345643240051475	6.7951586420402	-4.45355584609884	1.40292692205721e-05	0.00119270044843379	2.90276842613884
ITGAL	0.514770101465086	0.286750679147782	0.74278952378239	7.8145339419397	4.45167317862811	1.41416371353391e-05	0.00119321392430658	2.89544541290247
PIM1	-0.454907662176231	-0.656553843370324	-0.253261480982137	8.9056735379799	-4.44851490070319	1.4332085271663e-05	0.00120025866357166	2.88316630229849
CTNNAL1	-0.931719507366088	-1.34505844555881	-0.518380569173363	3.66030112794472	-4.44488642388114	1.45539291192518e-05	0.00120420105759798	2.86906783518044
B4GALT2	-0.360850847447872	-0.520958463877249	-0.200743231018496	3.35052410445729	-4.44424033782182	1.45937750698027e-05	0.00120420105759798	2.8665584442284
ANKRD9	-0.886786031983259	-1.28062426974774	-0.492947794218783	5.32513573080402	-4.43999788992892	1.48580342551804e-05	0.00121228360558247	2.85008818728972
DPCD	-0.865293634305116	-1.24965513339822	-0.480932135212012	3.50599930776382	-4.43920733734541	1.49077827098896e-05	0.00121228360558247	2.84702047489539
MAOA	-0.866922619347441	-1.25219518786557	-0.481650050829313	3.45318237332161	-4.43704716977543	1.50445365875926e-05	0.00121460280277672	2.83864028235871
SPTB	-1.05595911251697	-1.52568220275476	-0.586236022279192	5.10614566592462	-4.43289038541172	1.53110884910483e-05	0.00122729310747531	2.82252370958272
ACTL7B	-0.219270677339789	-0.316963144176566	-0.121578210503012	2.49569109212563	-4.42589678302748	1.57698167593928e-05	0.00125108242127246	2.79543602858763
TMEM57	-0.50649824096198	-0.732263650439577	-0.280732831484383	4.92072008743216	-4.42386981727666	1.59052191047916e-05	0.00125108242127246	2.78759167234771
FYB	0.319338418351752	0.176943594729635	0.461733241973868	10.9213585525377	4.42220394208686	1.60173356148564e-05	0.00125108242127246	2.78114692603488
SLC7A5	-0.584413571031087	-0.845060316477581	-0.323766825584593	3.5768106050804	-4.42129797504335	1.60786270986594e-05	0.00125108242127246	2.77764285446216
NSUN3	-0.615730397463175	-0.890423598062139	-0.341037196864212	4.92619834585427	-4.42002254227192	1.61652959440837e-05	0.00125108242127246	2.77271076535288
DYRK3	-0.540935821084648	-0.782579197698609	-0.299292444470686	3.00179561286432	-4.41420649381937	1.65662303772312e-05	0.00126782973172457	2.75023484042873
NCRNA00188	-0.556742662903636	-0.805589208824404	-0.307896116982867	8.61737710886432	-4.41168692120273	1.67428679740426e-05	0.00126782973172457	2.74050552060997
ZNF573	0.506977386175036	0.280340343045007	0.733614429305065	3.74996117638191	4.41102472347379	1.67895913688478e-05	0.00126782973172457	2.73794919781271
LOC339240	-0.286296495853179	-0.414299331616613	-0.158293660089745	2.50049929690452	-4.41040265417538	1.68335974003708e-05	0.00126782973172457	2.7355480701385
GSTM3	-0.546339230350071	-0.790752251198882	-0.30192620950126	2.33307396892462	-4.40777936247715	1.70203938257839e-05	0.00127335239675298	2.72542545263355
PSMB9	0.664728521501445	0.367238138560295	0.962218904442595	9.12820859927136	4.40608815581019	1.7141872685922e-05	0.00127377946733289	2.71890211774875
SRRM1	0.349246737969155	0.19284746826611	0.5056460076722	6.7292584669598	4.40331177908961	1.73431058667739e-05	0.00127377946733289	2.70819748286251
TRAF3IP3	0.450157328439265	0.248553631319004	0.651761025559526	7.60339325005025	4.40298931959141	1.73666243541198e-05	0.00127377946733289	2.70695456038303
FAM70B	-0.238917085298182	-0.346078425101767	-0.131755745494597	2.15927205538191	-4.39633595467652	1.78587739927007e-05	0.0013013711801694	2.6813256891686
CA3	-0.350948761582258	-0.508819733853212	-0.193077789311304	2.88930165347236	-4.38352239852408	1.88445685951688e-05	0.00136434676629022	2.63205680534865
TFR2	-0.476807433186275	-0.691381643627943	-0.262233222744607	2.51461500828141	-4.38174695467448	1.89852119265419e-05	0.00136571825794649	2.62523938415913
RGS12	-0.32412766461645	-0.470139748430376	-0.178115580802524	3.12457864145729	-4.37732810346086	1.93396417604232e-05	0.00138235324735968	2.6082815002608
DTNBP1	0.484376432455048	0.265710886833938	0.703041978076158	5.31189580041709	4.36801826273094	2.01072647020897e-05	0.00142812483852437	2.57259963650913
NMNAT3	-0.328583764824246	-0.477005761632986	-0.180161768015506	2.79225826963819	-4.36545615464511	2.03235944418318e-05	0.00143441117500777	2.56279074055245
GGT5	-0.294036605797943	-0.427041692702642	-0.161031518893244	3.10073615493467	-4.35928184686828	2.08541293839753e-05	0.00146265649966857	2.53917208427647
DTX3L	0.562285303534197	0.307844178117853	0.816726428950541	6.81698635223116	4.35763874872108	2.09975372748633e-05	0.00146356747390383	2.53289133182327
XPO7	-0.575577121671925	-0.836208776516763	-0.314945466827088	5.7183616830603	-4.35469919379682	2.12564616354079e-05	0.0014724692127935	2.52165970406957
LCK	0.76666378563032	0.419301658249294	1.11402591301135	5.12330166380905	4.35215428478543	2.14830951422552e-05	0.00147903861157293	2.51194097788126
ADAR	0.354460206736015	0.193535870152825	0.515384543319204	10.2952088350553	4.34337731221315	2.22826288662807e-05	0.00152472964108172	2.4784584161157
EPB49	-0.859846986417021	-1.25062740298547	-0.469066569848575	7.32879551408543	-4.33880549399546	2.27103207095519e-05	0.00154457708486419	2.46103971362456
OPTN	-0.837460974378049	-1.21849607929579	-0.456425869460304	7.1543831141407	-4.33392496840549	2.31755746031448e-05	0.00156328447138305	2.4424614418557
RXRB	0.273339968695839	0.148931001416522	0.397748935975157	5.32227667813065	4.33244696194936	2.33182643399635e-05	0.00156328447138305	2.43683862895204
VEZF1	0.365816761119802	0.199283866016038	0.532349656223565	7.05526415448241	4.33157030285938	2.34032963101366e-05	0.00156328447138305	2.43350427910914
CHTF8	0.267933209594693	0.145871572597098	0.389994846592288	6.20805827937688	4.32841761629455	2.3711556107556e-05	0.00157450344756801	2.42151769738802
AMFR	-0.579405077763749	-0.84373206173191	-0.315078093795587	6.35270920442714	-4.32237652407768	2.43131436832962e-05	0.00160495352008206	2.39856936417888
ASPHD2	0.526664494672644	0.286169133082366	0.767159856262922	5.32119195822613	4.31826346623865	2.47310743436296e-05	0.00162299483207141	2.38296013645322
SLC7A1	-0.431631064973935	-0.628859146209538	-0.234402983738333	3.29577033199497	-4.31544656658516	2.50212646249121e-05	0.00163249204430676	2.37227693136899
KIAA1467	-0.201303778173122	-0.293352077816082	-0.109255478530162	2.97906517346734	-4.31238925269825	2.53399140272224e-05	0.00164372552146526	2.36068843244398
SHISA5	0.509348837288381	0.276262744588555	0.742434929988206	8.31655016490955	4.30904229451449	2.56932098612483e-05	0.00165706437392488	2.34800980573806
CDC42BPA	-0.619276495537301	-0.903096114665426	-0.335456876409176	3.9866054648794	-4.30253075417149	2.6394120721619e-05	0.00167539567845448	2.32336662100723
CYSLTR1	0.719503188677188	0.389713557030375	1.049292820324	5.4407647441809	4.3020705168309	2.64443484196559e-05	0.00167539567845448	2.3216259950163
SLCO3A1	0.436576317593735	0.23645972848603	0.63669290670144	7.17847238002513	4.30188583642457	2.64645291295881e-05	0.00167539567845448	2.32092757345655
CCL22	-0.268106869633907	-0.391104417204986	-0.145109322062828	2.68175723133668	-4.298266006852	2.68630730268004e-05	0.00167539567845448	2.30724314081152
ZNF710	0.325405124670969	0.176054595574835	0.474755653767102	6.13291795998492	4.29634770884139	2.70766025270409e-05	0.00167539567845448	2.2999950373725
NLRC5	0.440635482306552	0.23838753798019	0.642883426632915	7.62592861101005	4.29612737574165	2.71012320847174e-05	0.00167539567845448	2.29916270068894
ELF2	0.482089826118368	0.26079929660639	0.703380355630345	6.89897284448241	4.29582852831544	2.71346725309217e-05	0.00167539567845448	2.29803382220227
MAP1LC3B	-0.355803255719509	-0.519144843084831	-0.192461668354188	8.38193671636683	-4.29531427530214	2.71923089986296e-05	0.00167539567845448	2.29609141326728
